1/1/81;20.7;81;11.51726027;a–o;81;11.51726027;;;;;;;;;;;predicci—n;
2/1/81;17.9;81;;;82;10.78356164;;;;;;;;;;;30/12/90;14.58272885
3/1/81;18.8;81;17.71290323;ene-81;83;11.18739726;;;;;;;;;;;31/12/90;14.90100069
4/1/81;14.6;81;;;84;10.59178082;;;;;;;;;;;1/1/91;14.93786399
5/1/81;15.8;81;;;85;11.13753425;;;;;;;;;;;2/1/91;14.26766849
6/1/81;15.8;81;;;86;10.80328767;;;;;;;;;;;3/1/91;14.02337927
7/1/81;15.8;81;;;87;10.85315068;;;;;;;;;;;4/1/91;15.20824226
8/1/81;17.4;81;;;88;11.97205479;;;;;;;;;;;5/1/91;15.06793251
9/1/81;21.8;81;;;89;11.26191781;;;;;;;;;;;6/1/91;14.9772648
10/1/81;20;81;;;90;11.66958904;;;;;;;;;;;7/1/91;13.61043701
11/1/81;16.2;81;;;;;;;;;;;;;;;8/1/91;14.80814148
12/1/81;13.3;81;;;;;;;;;;;;;;;9/1/91;14.43246323
13/1/81;16.7;81;;;;;;;;;;;;;;;10/1/91;14.63533795
14/1/81;21.5;81;;;;;;;;;;;;;;;11/1/91;16.50493383
15/1/81;25;81;;;;;;;;;;;;;;;12/1/91;15.9759851
16/1/81;20.7;81;;;;;;;;;;;;;;;13/1/91;15.06805761
17/1/81;20.6;81;;;;;;;;;;;;;;;14/1/91;14.98013349
18/1/81;24.8;81;;;;;;;;;;;;;;;15/1/91;15.22707286
19/1/81;17.7;81;;;;;;;;;;;;;;;16/1/91;15.1291045
20/1/81;15.5;81;;;;;;;;;;;;;;;17/1/91;15.87189398
21/1/81;18.2;81;;;;;;;;;;;;;;;18/1/91;16.92621333
22/1/81;12.1;81;;;;;;;;;;;;;;;19/1/91;16.438937
23/1/81;14.4;81;;;;;;;;;;;;;;;20/1/91;14.75759898
24/1/81;16;81;;;;;;;;;;;;;;;21/1/91;14.24389544
25/1/81;16.5;81;;;;;;;;;;;;;;;22/1/91;15.09692659
26/1/81;18.7;81;;;;;;;;;;;;;;;23/1/91;15.2079627
27/1/81;19.4;81;;;;;;;;;;;;;;;24/1/91;15.5287141
28/1/81;17.2;81;;;;;;;;;;;;;;;25/1/91;15.39149343
29/1/81;15.5;81;;;;;;;;;;;;;;;26/1/91;15.22915705
30/1/81;15.1;81;;;;;;;;;;;;;;;27/1/91;15.39041245
31/1/81;15.4;81;;;;;;;;;;;;;;;28/1/91;15.62538126
1/2/81;15.3;81;17.67857143;feb-81;;;;;;;;;;;;;29/1/91;15.38913158
2/2/81;18.8;81;;;;;;;;;;;;;;;30/1/91;14.88937766
3/2/81;21.9;81;;;;;;;;;;;;;;;31/1/91;13.93952121
4/2/81;19.9;81;;;;;;;;;;;;;;;1/2/91;14.73479853
5/2/81;16.6;81;;;;;;;;;;;;;;;2/2/91;14.87484276
6/2/81;16.8;81;;;;;;;;;;;;;;;3/2/91;16.06450133
7/2/81;14.6;81;;;;;;;;;;;;;;;4/2/91;15.82758856
8/2/81;17.1;81;;;;;;;;;;;;;;;5/2/91;15.18523733
9/2/81;25;81;;;;;;;;;;;;;;;6/2/91;15.79908407
10/2/81;15;81;;;;;;;;;;;;;;;7/2/91;16.38727357
11/2/81;13.7;81;;;;;;;;;;;;;;;8/2/91;16.90485061
12/2/81;13.9;81;;;;;;;;;;;;;;;9/2/91;16.1315742
13/2/81;18.3;81;;;;;;;;;;;;;;;10/2/91;16.42152595
14/2/81;22;81;;;;;;;;;;;;;;;11/2/91;15.80040621
15/2/81;22.1;81;;;;;;;;;;;;;;;12/2/91;16.48606632
16/2/81;21.2;81;;;;;;;;;;;;;;;13/2/91;15.93087605
17/2/81;18.4;81;;;;;;;;;;;;;;;14/2/91;16.20183431
18/2/81;16.6;81;;;;;;;;;;;;;;;15/2/91;15.32458609
19/2/81;16.1;81;;;;;;;;;;;;;;;16/2/91;15.52690219
20/2/81;15.7;81;;;;;;;;;;;;;;;17/2/91;15.93981621
21/2/81;16.6;81;;;;;;;;;;;;;;;18/2/91;16.38769364
